"AUC","Method","Sex.Rate","Samp.Size"
0.546805000000006,"Non-Parametric Bootstrap","0.1","n = 100"
0.50404450000002,"Original (multilocus)","0.2","n = 10"
0.502665499999978,"Original (multilocus)","0.2","n = 25"
0.503422999999998,"Original (multilocus)","0.2","n = 50"
0.527828,"Original (multilocus)","0.2","n = 100"
0.504444000000007,"Permutataion","0.2","n = 10"
0.50282150000001,"Permutataion","0.2","n = 25"
0.504462000000018,"Permutataion","0.2","n = 50"
0.526312999999988,"Permutataion","0.2","n = 100"
0.505431499999986,"Parametric Bootstrap","0.2","n = 10"
0.503686499999986,"Parametric Bootstrap","0.2","n = 25"
0.503883500000001,"Parametric Bootstrap","0.2","n = 50"
0.526428999999979,"Parametric Bootstrap","0.2","n = 100"
0.503883999999999,"Non-Parametric Bootstrap","0.2","n = 10"
0.503385000000009,"Non-Parametric Bootstrap","0.2","n = 25"
0.503437500000018,"Non-Parametric Bootstrap","0.2","n = 50"
0.527973000000003,"Non-Parametric Bootstrap","0.2","n = 100"
0.503856000000013,"Original (multilocus)","0.5","n = 10"
0.495849499999991,"Original (multilocus)","0.5","n = 25"
0.507454000000024,"Original (multilocus)","0.5","n = 50"
0.491647499999999,"Original (multilocus)","0.5","n = 100"
0.504219499999977,"Permutataion","0.5","n = 10"
0.49648000000002,"Permutataion","0.5","n = 25"
0.510163500000004,"Permutataion","0.5","n = 50"
0.490867500000007,"Permutataion","0.5","n = 100"
0.504176999999999,"Parametric Bootstrap","0.5","n = 10"
0.496565000000004,"Parametric Bootstrap","0.5","n = 25"
0.509400999999997,"Parametric Bootstrap","0.5","n = 50"
0.490701000000001,"Parametric Bootstrap","0.5","n = 100"
0.503585000000015,"Non-Parametric Bootstrap","0.5","n = 10"
0.496865500000013,"Non-Parametric Bootstrap","0.5","n = 25"
0.508302999999984,"Non-Parametric Bootstrap","0.5","n = 50"
0.492211999999995,"Non-Parametric Bootstrap","0.5","n = 100"
0,"Original (multilocus)","1","n = 10"
0,"Original (multilocus)","1","n = 25"
0,"Original (multilocus)","1","n = 50"
0,"Original (multilocus)","1","n = 100"
0,"Permutataion","1","n = 10"
0,"Permutataion","1","n = 25"
0,"Permutataion","1","n = 50"
0,"Permutataion","1","n = 100"
0,"Parametric Bootstrap","1","n = 10"
0,"Parametric Bootstrap","1","n = 25"
0,"Parametric Bootstrap","1","n = 50"
0,"Parametric Bootstrap","1","n = 100"
0,"Non-Parametric Bootstrap","1","n = 10"
0,"Non-Parametric Bootstrap","1","n = 25"
0,"Non-Parametric Bootstrap","1","n = 50"
0,"Non-Parametric Bootstrap","1","n = 100"
