"AUC","Method","Sex.Rate","Samp.Size"
0.530699999999996,"Non-Parametric Bootstrap","0.1","n = 50"
0.546675999999991,"Non-Parametric Bootstrap","0.1","n = 100"
0.50404450000002,"Original (multilocus)","0.2","n = 10"
0.502665499999978,"Original (multilocus)","0.2","n = 25"
0.503422999999998,"Original (multilocus)","0.2","n = 50"
0.527828,"Original (multilocus)","0.2","n = 100"
0.504609499999987,"Permutataion","0.2","n = 10"
0.50278449999999,"Permutataion","0.2","n = 25"
0.504459999999995,"Permutataion","0.2","n = 50"
0.526319000000001,"Permutataion","0.2","n = 100"
0.505182999999988,"Parametric Bootstrap","0.2","n = 10"
0.503759000000002,"Parametric Bootstrap","0.2","n = 25"
0.503725500000002,"Parametric Bootstrap","0.2","n = 50"
0.526478999999995,"Parametric Bootstrap","0.2","n = 100"
0.503928000000002,"Non-Parametric Bootstrap","0.2","n = 10"
0.50348249999999,"Non-Parametric Bootstrap","0.2","n = 25"
0.503566000000006,"Non-Parametric Bootstrap","0.2","n = 50"
0.52790250000001,"Non-Parametric Bootstrap","0.2","n = 100"
0.503856000000013,"Original (multilocus)","0.5","n = 10"
0.495849499999991,"Original (multilocus)","0.5","n = 25"
0.507454000000024,"Original (multilocus)","0.5","n = 50"
0.491647499999999,"Original (multilocus)","0.5","n = 100"
0.504376499999978,"Permutataion","0.5","n = 10"
0.496438499999982,"Permutataion","0.5","n = 25"
0.510156999999992,"Permutataion","0.5","n = 50"
0.490889500000009,"Permutataion","0.5","n = 100"
0.504099500000024,"Parametric Bootstrap","0.5","n = 10"
0.496501499999994,"Parametric Bootstrap","0.5","n = 25"
0.509468999999996,"Parametric Bootstrap","0.5","n = 50"
0.49083250000001,"Parametric Bootstrap","0.5","n = 100"
0.503558999999996,"Non-Parametric Bootstrap","0.5","n = 10"
0.496976499999988,"Non-Parametric Bootstrap","0.5","n = 25"
0.508448500000014,"Non-Parametric Bootstrap","0.5","n = 50"
0.491856500000011,"Non-Parametric Bootstrap","0.5","n = 100"
0,"Original (multilocus)","1","n = 10"
0,"Original (multilocus)","1","n = 25"
0,"Original (multilocus)","1","n = 50"
0,"Original (multilocus)","1","n = 100"
0,"Permutataion","1","n = 10"
0,"Permutataion","1","n = 25"
0,"Permutataion","1","n = 50"
0,"Permutataion","1","n = 100"
0,"Parametric Bootstrap","1","n = 10"
0,"Parametric Bootstrap","1","n = 25"
0,"Parametric Bootstrap","1","n = 50"
0,"Parametric Bootstrap","1","n = 100"
0,"Non-Parametric Bootstrap","1","n = 10"
0,"Non-Parametric Bootstrap","1","n = 25"
0,"Non-Parametric Bootstrap","1","n = 50"
0,"Non-Parametric Bootstrap","1","n = 100"
